CONVOCATORIA,SEMESTRE DE CONVOCATORIA,BENEFICIO OTORGADO,DEPARTAMENTO DE NACIMIENTO,MUNICIPIO DE NACIMIENTO,FECHA DE NACIMIENTO,GÉNERO,SUBREGIÓN DE RESIDENCIA,MUNICIPIO DE RESIDENCIA,ESTRATO,GRUPO ETNICO,VICTIMA DEL CONFLICTO ARMADO,UNIVERSIDAD,PROGRAMA CURSADO,MUNICIPIO OFERTA,TIPO DE FORMACIÓN,GRADUADO
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,BELLO,02/19/1999 12:00:00 AM,FEMENINO,ORIENTE,MARINILLA,ESTRATO 2,NINGUNO,0,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN CONSTRUCCIONES CIVILES,RIONEGRO,TECNOLOGICA,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,04/26/1997 12:00:00 AM,FEMENINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,0,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN CONSTRUCCIONES CIVILES,RIONEGRO,TECNOLOGICA,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,08/21/1995 12:00:00 AM,MASCULINO,ORIENTE,GUARNE,ESTRATO 3,NINGUNO,0,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO,RIONEGRO,TECNOLOGICA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,LIBORINA,04/24/1994 12:00:00 AM,MASCULINO,OCCIDENTE,LIBORINA,ESTRATO 1,NINGUNO,1,INSTITUCION UNIVERSITARIA PASCUAL BRAVO,TECNICO PROFESIONAL EN REDES ELECTRICAS DE DISTRIBUCION DE ENERGIA,LIBORINA,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,SABANALARGA,03/29/1994 12:00:00 AM,MASCULINO,OCCIDENTE,SABANALARGA,ESTRATO 1,NINGUNO,1,INSTITUCION UNIVERSITARIA PASCUAL BRAVO,TECNICO PROFESIONAL EN REDES ELECTRICAS DE DISTRIBUCION DE ENERGIA,LIBORINA,TECNICA PROFESIONAL,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,PUERTO TRIUNFO,06/05/1997 12:00:00 AM,FEMENINO,ORIENTE,SAN LUIS,ESTRATO 2,NINGUNO,1,UNIVERSIDAD DE ANTIOQUIA,ADMINISTRACION DE EMPRESAS,EL CARMEN DE VIBORAL,UNIVERSITARIA,0
2016,1,SOSTENIMIENTO,ANTIOQUIA,CAUCASIA,06/10/1996 12:00:00 AM,FEMENINO,BAJO CAUCA,CAUCASIA,ESTRATO 1,NINGUNO,1,SENA,TECNOLOGIA EN GESTION LOGISTICA,CAUCASIA,TECNOLOGICA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,09/18/1995 12:00:00 AM,MASCULINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,0,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN GESTION INDUSTRIAL,RIONEGRO,TECNOLOGICA,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,08/15/1998 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,0,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL,RIONEGRO,TECNOLOGICA,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,LIBORINA,10/07/1996 12:00:00 AM,FEMENINO,OCCIDENTE,LIBORINA,ESTRATO 1,NINGUNO,1,INSTITUCION UNIVERSITARIA PASCUAL BRAVO,TECNICO PROFESIONAL EN REDES ELECTRICAS DE DISTRIBUCION DE ENERGIA,LIBORINA,TECNICA PROFESIONAL,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,LIBORINA,12/01/1988 12:00:00 AM,MASCULINO,OCCIDENTE,LIBORINA,ESTRATO 1,NINGUNO,0,INSTITUCION UNIVERSITARIA PASCUAL BRAVO,TECNICO PROFESIONAL EN REDES ELECTRICAS DE DISTRIBUCION DE ENERGIA,LIBORINA,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,LIBORINA,09/21/1998 12:00:00 AM,MASCULINO,OCCIDENTE,LIBORINA,ESTRATO 1,NINGUNO,1,INSTITUCION UNIVERSITARIA PASCUAL BRAVO,TECNICO PROFESIONAL EN REDES ELECTRICAS DE DISTRIBUCION DE ENERGIA,LIBORINA,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,BELLO,11/07/1998 12:00:00 AM,MASCULINO,OCCIDENTE,SABANALARGA,ESTRATO 1,NINGUNO,0,INSTITUCION UNIVERSITARIA PASCUAL BRAVO,TECNICO PROFESIONAL EN REDES ELECTRICAS DE DISTRIBUCION DE ENERGIA,LIBORINA,TECNICA PROFESIONAL,1
